county_fips,county_total,dominant_cluster,dominant_cluster_prop,worst_cluster_prop,mean_severity_rank,pooled_cluster_label,dominant_cluster_phenotype
00000,0,4,-Inf,,,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
01003,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
01031,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
01033,1,2,1,1,2,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
01039,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
01073,2,3,0.5,0.5,4,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
01081,2,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
01089,1,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
01097,2,2,0.5,0.5,2.5,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
01115,0,1,-Inf,,,Cluster 1: Room air / No ARF,Room air / No ARF
01129,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
02000,0,3,-Inf,,,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
02020,2,2,0.5,0.5,3.5,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
02090,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
02110,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
02130,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
02170,3,4,0.6666666666666666,0.3333333333333333,4.333333333333333,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
04013,29,1,0.4482758620689655,0.10344827586206896,2.2413793103448274,Cluster 1: Room air / No ARF,Room air / No ARF
04015,3,3,0.6666666666666666,0.3333333333333333,3.6666666666666665,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
04019,2,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
04021,4,2,0.5,0.25,2.75,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
04025,2,1,0.5,0.5,1.5,Cluster 1: Room air / No ARF,Room air / No ARF
04027,2,1,0.5,0.5,3,Cluster 1: Room air / No ARF,Room air / No ARF
05005,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
05007,3,2,0.6666666666666666,0.3333333333333333,2.6666666666666665,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
05041,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
05049,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
05051,1,2,1,1,2,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
05093,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
05115,3,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
05119,1,2,1,1,2,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
05123,1,2,1,1,2,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
05131,1,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
05139,2,4,0.5,0.5,4.5,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
05143,4,1,0.5,0.25,2,Cluster 1: Room air / No ARF,Room air / No ARF
06001,184,2,0.28804347826086957,0.14130434782608695,2.9456521739130435,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
06007,18,4,0.5555555555555556,0.5555555555555556,2.9444444444444446,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
06009,4,3,0.75,0.25,3.5,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
06013,149,4,0.33557046979865773,0.14093959731543623,2.9731543624161074,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
06015,8,1,0.5,0.125,2.375,Cluster 1: Room air / No ARF,Room air / No ARF
06017,8,4,0.375,0.125,3.375,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
06019,68,4,0.39705882352941174,0.17647058823529413,3.2205882352941178,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
06021,4,3,0.5,0.25,3,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
06023,19,4,0.3684210526315789,0.3157894736842105,3.526315789473684,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
06029,4,4,0.5,0.25,3.75,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
06031,10,4,0.4,0.3,3.6,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
06033,19,2,0.3684210526315789,0.05263157894736842,2.4210526315789473,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
06035,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
06037,34,5,0.2647058823529412,0.2647058823529412,3.264705882352941,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
06039,5,4,0.4,0.2,3.4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
06041,86,4,0.29069767441860467,0.1511627906976744,2.9186046511627906,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
06043,1,2,1,1,2,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
06045,24,3,0.2916666666666667,0.041666666666666664,2.625,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
06047,29,2,0.3103448275862069,0.20689655172413793,3.0689655172413794,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
06049,4,5,0.5,0.5,3.5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
06053,49,4,0.3877551020408163,0.16326530612244897,3.2448979591836733,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
06055,19,2,0.2631578947368421,0.21052631578947367,2.8947368421052633,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
06057,7,1,0.2857142857142857,0.14285714285714285,2.7142857142857144,Cluster 1: Room air / No ARF,Room air / No ARF
06059,12,4,0.3333333333333333,0.3333333333333333,3.5,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
06061,9,2,0.3333333333333333,0.3333333333333333,2.7777777777777777,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
06063,1,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
06065,4,3,0.5,0.25,3,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
06067,54,2,0.24074074074074073,0.2037037037037037,2.9814814814814814,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
06069,9,3,0.3333333333333333,0.1111111111111111,3.2222222222222223,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
06071,0,4,-Inf,,,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
06073,5,1,0.6,0.2,2.4,Cluster 1: Room air / No ARF,Room air / No ARF
06075,909,2,0.30033003300330036,0.10891089108910891,2.6545654565456545,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
06077,90,4,0.23333333333333334,0.2111111111111111,3.077777777777778,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
06079,17,2,0.47058823529411764,0.058823529411764705,2.588235294117647,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
06081,94,2,0.2765957446808511,0.13829787234042554,3.021276595744681,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
06083,5,1,0.4,0.4,2.4,Cluster 1: Room air / No ARF,Room air / No ARF
06085,75,2,0.29333333333333333,0.13333333333333333,2.8266666666666667,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
06087,22,4,0.36363636363636365,0.18181818181818182,3,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
06089,22,2,0.45454545454545453,0.09090909090909091,2.8181818181818183,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
06093,9,2,0.3333333333333333,0.2222222222222222,3.2222222222222223,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
06095,54,2,0.2962962962962963,0.2037037037037037,3.074074074074074,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
06097,95,4,0.29473684210526313,0.14736842105263157,2.9789473684210526,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
06099,61,2,0.3114754098360656,0.14754098360655737,2.7540983606557377,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
06101,5,2,0.4,0.4,3,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
06103,7,2,0.42857142857142855,0.2857142857142857,2.2857142857142856,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
06107,43,2,0.3023255813953488,0.16279069767441862,2.9767441860465116,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
06109,6,3,0.3333333333333333,0.3333333333333333,2.8333333333333335,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
06111,3,1,0.6666666666666666,0.3333333333333333,2.3333333333333335,Cluster 1: Room air / No ARF,Room air / No ARF
06113,13,4,0.38461538461538464,0.15384615384615385,3.076923076923077,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
06115,6,4,0.5,0.3333333333333333,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
08001,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
08005,3,1,0.3333333333333333,0.3333333333333333,3.3333333333333335,Cluster 1: Room air / No ARF,Room air / No ARF
08013,2,1,0.5,0.5,2.5,Cluster 1: Room air / No ARF,Room air / No ARF
08014,1,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
08031,2,5,1,1,5,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
08041,4,3,0.5,0.5,3.5,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
08059,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
08069,8,1,0.875,0.125,1.375,Cluster 1: Room air / No ARF,Room air / No ARF
08117,1,4,1,1,4,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
08119,1,3,1,1,3,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
08123,1,3,1,1,3,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
09000,0,2,-Inf,,,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
09001,9,4,0.7777777777777778,0.1111111111111111,3.7777777777777777,Cluster 4: Invasive ventilation / Predominantly no ARF,IMV / Predom. no ARF
09003,3,5,0.6666666666666666,0.6666666666666666,3.6666666666666665,Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,IMV / Hypoxemic/mixed ARF
09007,0,2,-Inf,,,Cluster 2: Low-flow oxygen / No ARF,Low-flow O2 / No ARF
09009,2,1,0.5,0,2.5,Cluster 1: Room air / No ARF,Room air / No ARF
09011,2,3,0.5,0.5,4,Cluster 3: Noninvasive ventilation / No ARF,NIV / No ARF
09013,1,1,1,1,1,Cluster 1: Room air / No ARF,Room air / No ARF
