pooled_cluster,pooled_cluster_label,term_clean,effect_type,k,estimate_fixed,std_error_fixed,conf_low_fixed,conf_high_fixed,estimate_random,std_error_random,conf_low_random,conf_high_random,tau2,q,i2,pooled_effect_random,pooled_conf_low_random,pooled_conf_high_random,covariate_label,site_included
2,Cluster 2: Resolving ARF,admit_year,RRR,10,0.034181687392729795,8.69318668939639e-5,0.03401130093361763,0.03435207385184196,0.08632375455983564,0.05283134738919827,-0.01722568632299297,0.18987319544266423,0.027911390878734066,3097944.7446656395,0.9999970948481197,1.0901592151945425,0.9829218275877429,1.2090962690189027,"Admission year, per year",Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
2,Cluster 2: Resolving ARF,advanced_cancer_any_poaTRUE,RRR,10,-0.3223991135638713,0.05447583418586764,-0.42917174856817186,-0.21562647855957073,-0.372413602542136,0.10806406640984133,-0.584219172705425,-0.16060803237884702,0.07469868679251057,30.425756973370433,0.7041979922512008,0.6890691828118567,0.5575410351505447,0.8516258154393824,Advanced cancer present on admission,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
2,Cluster 2: Resolving ARF,age_years,RRR,10,0.020164878092863475,0.0023245345862318895,0.015608790303848971,0.024720965881877978,0.019193715607888018,0.0030185352361703677,0.013277386544994097,0.02511004467078194,2.613528695529704e-5,13.04223194074814,0.3099340633652514,1.0193790991340241,1.0133659224495999,1.025427957197738,"Age, per year",Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
2,Cluster 2: Resolving ARF,race_categoryAsian,RRR,8,60.593620202244715,0.016276344549467834,60.56171856692776,60.62552183756167,-31.406539591192434,29.73170079932711,-89.68067315787357,26.867593975488703,7071.782809194261,17493889.3358716,0.9999995998602789,2.292520141020819e-14,1.1276608792297725e-39,466066411790.0311,Asian race,Emory; Hopkins; NU; OHSU; Penn; Rush; UCSF; UMN
2,Cluster 2: Resolving ARF,race_categoryBlack or African American,RRR,10,-134.690977328016,8.49413474116368e-16,-134.690977328016,-134.690977328016,,Inf,,,Inf,17377306.25398573,0.9999994820831337,,,,Black race,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
2,Cluster 2: Resolving ARF,charlson_score,RRR,10,0.008306634092513513,0.009254978433796166,-0.009833123637726973,0.026446391822753997,0.0019050636262269664,0.01796659767148058,-0.033309467809874975,0.037119595062328904,0.0019691201887781086,28.208200881929585,0.6809438490008245,1.001906879412817,0.9672391838759888,1.037817131221009,"Charlson score, per point",Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
2,Cluster 2: Resolving ARF,sex_categoryMale,RRR,10,-0.0806032200196392,0.042182795046703095,-0.16328149831117728,0.002075058271898869,-0.09738475292270994,0.07174577343231572,-0.23800646885004878,0.043236963004628884,0.0289270082083897,23.012320898154446,0.6089051582484326,0.9072068884737167,0.7881975923452452,1.044185298822459,Male sex,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
2,Cluster 2: Resolving ARF,race_categoryNative Hawaiian or Other Pacific Islander,RRR,5,-115.93931056264685,3.205573482514176e-16,-115.93931056264685,-115.93931056264685,43.02076263407999,153.60260228560023,-258.04033784569646,344.0818631138564,117968.79714019696,32614976462362085e19,1,482702801361834e4,8.600132951620372e-113,27092836326286297e133,Native Hawaiian or Pacific Islander race,Hopkins; NU; Penn; Rush; UCSF; UMN
2,Cluster 2: Resolving ARF,race_categoryOther,RRR,9,20.30633073053301,0.00688758662584437,20.292831060746355,20.319830400319663,-27.28307484682545,16.67376338578086,-59.963651082955934,5.3975013893050345,2502.1148355781247,37299003.21292733,0.9999997855170565,1.4161561563553253e-12,9.080655919942476e-27,220.85389831572792,Other race,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF
2,Cluster 2: Resolving ARF,race_categoryUnknown,RRR,10,-3.2436613037249242,0.003973392025565363,-3.251449152095032,-3.2358734553548163,-24.334088911178174,44.897228934880125,-112.33265762354321,63.66447980118687,20157.604772258896,516709126.8381561,0.9999999825820766,2.702959034891259e-11,1.6388781176801057e-49,44579200036194524e11,Unknown race,Emory; Hopkins; Michigan; NU; OHSU; Penn; Rush; UCMC; UCSF; UMN
