section,label,metric,estimate_ci,k,site_included
Overall pooled associations,NO₂ -> ICU LOS,RR_like,"1.00 (0.92, 1.08)",9,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Overall pooled associations,PM₂.₅ -> ICU LOS,RR_like,"0.94 (0.90, 0.99)",9,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Overall pooled associations,NO₂ -> death or hospice,OR,"1.02 (0.99, 1.06)",9,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Overall pooled associations,PM₂.₅ -> death or hospice,OR,"0.97 (0.93, 1.01)",9,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Overall pooled associations,NO₂ -> post-72h mortality hazard,HR,"0.89 (0.81, 0.97)",9,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Overall pooled associations,PM₂.₅ -> post-72h mortality hazard,HR,"1.11 (1.02, 1.21)",9,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Overall pooled associations,NO₂ -> higher trajectory severity,Ordinal_OR,"0.95 (0.85, 1.07)",9,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Overall pooled associations,PM₂.₅ -> higher trajectory severity,Ordinal_OR,"0.95 (0.87, 1.04)",9,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Exposure-by-cluster interaction terms,NO₂ x Cluster 1: Room air / No ARF,OR,"1.04 (0.97, 1.11)",7,Emory; Michigan; Minnesota; NU; Penn; UCMC; UCSF
Exposure-by-cluster interaction terms,NO₂ x Cluster 2: Low-flow oxygen / No ARF,OR,"0.99 (0.88, 1.11)",5,Michigan; NU; OHSU; RUSH; UCSF
Exposure-by-cluster interaction terms,NO₂ x Cluster 3: Noninvasive ventilation / No ARF,OR,"1.03 (0.93, 1.14)",9,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Exposure-by-cluster interaction terms,NO₂ x Cluster 4: Invasive ventilation / Predominantly no ARF,OR,"1.13 (1.04, 1.23)",7,Emory; Minnesota; NU; OHSU; Penn; RUSH; UCMC
Exposure-by-cluster interaction terms,NO₂ x Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,OR,"1.04 (0.91, 1.19)",8,Emory; Michigan; Minnesota; OHSU; Penn; RUSH; UCMC; UCSF
Exposure-by-cluster interaction terms,PM₂.₅ x Cluster 1: Room air / No ARF,OR,"1.09 (1.02, 1.16)",7,Emory; Michigan; Minnesota; NU; Penn; UCMC; UCSF
Exposure-by-cluster interaction terms,PM₂.₅ x Cluster 2: Low-flow oxygen / No ARF,OR,"1.03 (0.95, 1.11)",5,Michigan; NU; OHSU; RUSH; UCSF
Exposure-by-cluster interaction terms,PM₂.₅ x Cluster 3: Noninvasive ventilation / No ARF,OR,"1.07 (0.99, 1.16)",9,Emory; Michigan; Minnesota; NU; OHSU; Penn; RUSH; UCMC; UCSF
Exposure-by-cluster interaction terms,PM₂.₅ x Cluster 4: Invasive ventilation / Predominantly no ARF,OR,"1.14 (1.07, 1.21)",7,Emory; Minnesota; NU; OHSU; Penn; RUSH; UCMC
Exposure-by-cluster interaction terms,PM₂.₅ x Cluster 5: Invasive ventilation / Hypoxemic or mixed ARF,OR,"1.08 (0.94, 1.24)",8,Emory; Michigan; Minnesota; OHSU; Penn; RUSH; UCMC; UCSF
